9282214208,12.37,200,Operation done successfully,
9282226878,25.74,200,Operation done successfully,
9278124973,30.40,200,Operation done successfully,
9278157731,36.10,200,Operation done successfully,
9278104234,40.18,200,Operation done successfully,
9278149623,16.60,200,Operation done successfully,
9278163720,27.10,200,Operation done successfully,
9278178738,27.45,200,Operation done successfully,
9278121674,28.40,200,Operation done successfully,
9278183549,31.70,200,Operation done successfully,
9278173773,26.88,200,Operation done successfully,
9278186169,27.45,200,Operation done successfully,
