9282283818|25.55|400 Bad Request: "{"type":"ResponseDataModel","statusCode":10034,"statusDescription":"Refund Amount can't be greater than order amount","basketPayment":false}"
9282211070|102.00|400 Bad Request: "{"type":"ResponseDataModel","statusCode":9935,"statusDescription":"Something went wrong","basketPayment":false}"
9282249774|33.15|400 Bad Request: "{"type":"ResponseDataModel","statusCode":10034,"statusDescription":"Refund Amount can't be greater than order amount","basketPayment":false}"
9282244104|7.21|400 Bad Request: "{"type":"ResponseDataModel","statusCode":10034,"statusDescription":"Refund Amount can't be greater than order amount","basketPayment":false}"
9282246590|75.22|400 Bad Request: "{"type":"ResponseDataModel","statusCode":9935,"statusDescription":"Something went wrong","basketPayment":false}"
9282262329|89.00|400 Bad Request: "{"type":"ResponseDataModel","statusCode":9935,"statusDescription":"Something went wrong","basketPayment":false}"
9282241325|30.40|400 Bad Request: "{"type":"ResponseDataModel","statusCode":9935,"statusDescription":"Something went wrong","basketPayment":false}"
9282277440|9.94|400 Bad Request: "{"type":"ResponseDataModel","statusCode":10034,"statusDescription":"Refund Amount can't be greater than order amount","basketPayment":false}"
9282263572|47.70|400 Bad Request: "{"type":"ResponseDataModel","statusCode":10034,"statusDescription":"Refund Amount can't be greater than order amount","basketPayment":false}"
9282212927|76.32|400 Bad Request: "{"type":"ResponseDataModel","statusCode":9935,"statusDescription":"Something went wrong","basketPayment":false}"
9282225302|33.07|400 Bad Request: "{"type":"ResponseDataModel","statusCode":10034,"statusDescription":"Refund Amount can't be greater than order amount","basketPayment":false}"
9282202919|29.73|400 Bad Request: "{"type":"ResponseDataModel","statusCode":10034,"statusDescription":"Refund Amount can't be greater than order amount","basketPayment":false}"
9282253807|25.55|400 Bad Request: "{"type":"ResponseDataModel","statusCode":10034,"statusDescription":"Refund Amount can't be greater than order amount","basketPayment":false}"
9282271166|10.00|400 Bad Request: "{"type":"ResponseDataModel","statusCode":10034,"statusDescription":"Refund Amount can't be greater than order amount","basketPayment":false}"
9282222532|86.32|400 Bad Request: "{"type":"ResponseDataModel","statusCode":9935,"statusDescription":"Something went wrong","basketPayment":false}"
9282232522|34.00|400 Bad Request: "{"type":"ResponseDataModel","statusCode":9935,"statusDescription":"Something went wrong","basketPayment":false}"
9282292535|42.75|400 Bad Request: "{"type":"ResponseDataModel","statusCode":9935,"statusDescription":"Something went wrong","basketPayment":false}"
9282228790|25.55|400 Bad Request: "{"type":"ResponseDataModel","statusCode":10034,"statusDescription":"Refund Amount can't be greater than order amount","basketPayment":false}"
9282238482|18.00|400 Bad Request: "{"type":"ResponseDataModel","statusCode":10034,"statusDescription":"Refund Amount can't be greater than order amount","basketPayment":false}"
9282241861|31.82|400 Bad Request: "{"type":"ResponseDataModel","statusCode":9935,"statusDescription":"Something went wrong","basketPayment":false}"
9282202105|10.00|400 Bad Request: "{"type":"ResponseDataModel","statusCode":10034,"statusDescription":"Refund Amount can't be greater than order amount","basketPayment":false}"
9282261891|52.93|400 Bad Request: "{"type":"ResponseDataModel","statusCode":9935,"statusDescription":"Something went wrong","basketPayment":false}"
9282235888|27.00|400 Bad Request: "{"type":"ResponseDataModel","statusCode":10034,"statusDescription":"Refund Amount can't be greater than order amount","basketPayment":false}"
9282277625|25.55|400 Bad Request: "{"type":"ResponseDataModel","statusCode":10034,"statusDescription":"Refund Amount can't be greater than order amount","basketPayment":false}"
9282249178|36.54|400 Bad Request: "{"type":"ResponseDataModel","statusCode":9935,"statusDescription":"Something went wrong","basketPayment":false}"
9282280953|43.80|400 Bad Request: "{"type":"ResponseDataModel","statusCode":9935,"statusDescription":"Something went wrong","basketPayment":false}"
9282266965|26.90|400 Bad Request: "{"type":"ResponseDataModel","statusCode":10034,"statusDescription":"Refund Amount can't be greater than order amount","basketPayment":false}"
9282224392|38.76|400 Bad Request: "{"type":"ResponseDataModel","statusCode":9935,"statusDescription":"Something went wrong","basketPayment":false}"
9282221750|58.52|400 Bad Request: "{"type":"ResponseDataModel","statusCode":9935,"statusDescription":"Something went wrong","basketPayment":false}"
9282205790|63.30|400 Bad Request: "{"type":"ResponseDataModel","statusCode":10034,"statusDescription":"Refund Amount can't be greater than order amount","basketPayment":false}"
9282226666|10.90|400 Bad Request: "{"type":"ResponseDataModel","statusCode":9935,"statusDescription":"Something went wrong","basketPayment":false}"
9282282951|38.10|400 Bad Request: "{"type":"ResponseDataModel","statusCode":10034,"statusDescription":"Refund Amount can't be greater than order amount","basketPayment":false}"
9282208708|55.28|400 Bad Request: "{"type":"ResponseDataModel","statusCode":9935,"statusDescription":"Something went wrong","basketPayment":false}"
9282288631|34.96|400 Bad Request: "{"type":"ResponseDataModel","statusCode":9935,"statusDescription":"Something went wrong","basketPayment":false}"
9282294889|10.00|400 Bad Request: "{"type":"ResponseDataModel","statusCode":10034,"statusDescription":"Refund Amount can't be greater than order amount","basketPayment":false}"
9282286317|42.00|400 Bad Request: "{"type":"ResponseDataModel","statusCode":10034,"statusDescription":"Refund Amount can't be greater than order amount","basketPayment":false}"
9282202629|127.22|400 Bad Request: "{"type":"ResponseDataModel","statusCode":9935,"statusDescription":"Something went wrong","basketPayment":false}"
9282251104|10.00|400 Bad Request: "{"type":"ResponseDataModel","statusCode":10034,"statusDescription":"Refund Amount can't be greater than order amount","basketPayment":false}"
9282291064|89.72|400 Bad Request: "{"type":"ResponseDataModel","statusCode":9935,"statusDescription":"Something went wrong","basketPayment":false}"
9282296228|34.96|400 Bad Request: "{"type":"ResponseDataModel","statusCode":10034,"statusDescription":"Refund Amount can't be greater than order amount","basketPayment":false}"
